"sentence_id";"cleanliness_presence";"cleanliness_positive";"cleanliness_negative";"comfort_presence";"comfort_positive";"comfort_negative";"amenities_presence";"amenities_positive";"amenities_negative";"staff_presence";"staff_positive";"staff_negative";"value_presence";"value_positive";"value_negative";"wifi_presence";"wifi_positive";"wifi_negative";"location_presence";"location_positive";"location_negative";"other_presence";"other_positive";"other_negative";"sentence"
1240343993;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Il rumore di martello e trapano di un operaio al lavoro la mattina 7,30"
1240351476;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Stanza enorme e pulita, con letto comodissimo."
1240347600;0;0;0;1;1;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;"Camera spaziosa, letti largho e comodi, colazione varia e personale gentile"
1240350812;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Gli asciugamani fornitici presentavano dei buchi"
1240345146;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"L'hotel avrebbe bisogno di una ripulita, non tanto le stanze dato che la mia era spaziosa e confortevole, ma il corridoio e la moquette."
1240346931;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;1;0;0;0;0;"La posizione strategica, e l'educazione e la cordialita' del personale rendono il soggiorno in questo piccolo Hotel  Unico , sembra di essere a casa"
1240348214;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;"Buon rapporto qualità prezzo."
1240347996;1;1;0;1;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;"disponibilissimo per ogni esigenza del cliente ho trovato inoltre l albergo molto pulito,le stanze calde ed il bagno dotato di ogni comfort"
1240344081;0;0;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Ottima colazione, staff gentile e disponibile, camere ampie e curate."
1240347579;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Hotel di recente costruzione, ordinato, funzionale, pulito."
